Kp,Ki,Rise_Time_s,Overshoot_kPa
8.0,500.0,0.9302356243133545,1.77
8.0,800.0,0.9106333255767822,1.59
8.0,1200.0,0.8897299766540527,1.39
8.0,1500.0,0.8881392478942871,1.30
12.0,500.0,0.8903181552886963,1.70
12.0,800.0,0.887812614440918,1.49
12.0,1200.0,0.8866961002349854,1.46
12.0,1500.0,0.5657320022583008,1.66
15.0,500.0,0.8463459014892578,1.75
15.0,800.0,0.8670320510864258,1.64
15.0,1200.0,0.8296446800231934,1.51
15.0,1500.0,0.5240986347198486,1.81
20.0,500.0,0.6025443077087402,2.41
20.0,800.0,0.5842990875244141,2.03
20.0,1200.0,0.40235400199890137,1.54
20.0,1500.0,0.8907692432403564,1.34
