Kp,Ki,Rise_Time_s,Overshoot_kPa
24.0,1500.0,2.8186697959899902,-0.28
24.0,1800.0,2.6046793460845947,-0.55
24.0,2100.0,-1,-6.60
24.0,2500.0,-1,-6.70
27.0,1500.0,2.1770875453948975,-0.24
27.0,1800.0,1.9377341270446777,-0.26
27.0,2100.0,1.9380278587341309,-0.31
27.0,2500.0,-1,-6.86
30.0,1500.0,2.1605417728424072,-0.47
30.0,1800.0,1.8987462520599365,-0.43
30.0,2100.0,2.0388853549957275,-1.05
30.0,2500.0,-1,-7.52
33.0,1500.0,-1,-3.66
33.0,1800.0,2.1586270332336426,-1.16
33.0,2100.0,2.395720958709717,-1.46
33.0,2500.0,2.1768991947174072,-1.17
