Time,Target,Pressure,PWM
0.000,35.0,-0.04,0
0.020,35.0,-0.04,0
0.040,35.0,-0.04,255
0.060,35.0,0.06,255
0.080,35.0,0.68,255
0.101,35.0,1.53,255
0.121,35.0,2.38,255
0.141,35.0,3.14,255
0.161,35.0,3.86,255
0.181,35.0,4.50,255
0.201,35.0,5.18,255
0.221,35.0,5.18,255
0.241,35.0,5.84,255
0.262,35.0,6.58,255
0.282,35.0,7.23,255
0.302,35.0,7.81,255
0.322,35.0,8.43,255
0.343,35.0,9.09,255
0.363,35.0,9.70,255
0.383,35.0,10.23,255
0.403,35.0,10.86,255
0.423,35.0,11.44,255
0.443,35.0,11.94,255
0.463,35.0,12.46,255
0.484,35.0,13.04,255
0.504,35.0,13.46,255
0.524,35.0,14.01,255
0.544,35.0,14.49,255
0.564,35.0,14.96,255
0.585,35.0,15.49,255
0.605,35.0,15.88,255
0.625,35.0,16.33,255
0.645,35.0,16.73,255
0.665,35.0,17.21,255
0.685,35.0,17.21,255
0.705,35.0,17.56,255
0.725,35.0,17.96,255
0.746,35.0,18.34,255
0.766,35.0,18.71,255
0.786,35.0,19.13,255
0.806,35.0,19.39,255
0.826,35.0,19.85,255
0.847,35.0,20.11,255
0.867,35.0,20.51,255
0.887,35.0,20.76,255
0.907,35.0,21.12,255
0.927,35.0,21.38,255
0.947,35.0,21.69,255
0.967,35.0,21.90,255
0.987,35.0,22.26,255
1.007,35.0,22.44,255
1.028,35.0,22.76,255
1.048,35.0,23.01,255
1.068,35.0,23.26,255
1.088,35.0,23.50,255
1.108,35.0,23.68,255
1.128,35.0,23.93,255
1.148,35.0,24.11,255
1.169,35.0,24.34,255
1.190,35.0,24.47,255
1.211,35.0,24.70,255
1.231,35.0,24.70,255
1.251,35.0,24.83,255
1.271,35.0,25.05,255
1.291,35.0,25.19,255
1.312,35.0,25.44,255
1.332,35.0,25.53,255
1.352,35.0,25.78,255
1.372,35.0,25.83,255
1.393,35.0,26.05,255
1.413,35.0,26.14,255
1.433,35.0,26.32,255
1.453,35.0,26.39,255
1.473,35.0,26.53,255
1.493,35.0,26.71,255
1.513,35.0,26.78,255
1.533,35.0,26.97,255
1.553,35.0,27.04,255
1.574,35.0,27.18,255
1.594,35.0,27.21,255
1.614,35.0,27.34,255
1.634,35.0,27.39,255
1.654,35.0,27.45,255
1.674,35.0,27.48,255
1.694,35.0,27.56,255
1.715,35.0,27.55,255
1.736,35.0,27.66,255
1.757,35.0,27.68,255
1.778,35.0,27.76,255
1.798,35.0,27.76,255
1.818,35.0,27.82,255
1.839,35.0,27.86,255
1.859,35.0,27.94,255
1.879,35.0,27.91,255
1.899,35.0,28.02,255
1.920,35.0,28.01,255
1.940,35.0,27.99,255
1.960,35.0,28.09,255
1.980,35.0,28.22,255
2.001,35.0,28.19,255
2.021,35.0,28.24,255
2.041,35.0,28.24,255
2.061,35.0,28.28,255
2.082,35.0,28.34,255
2.102,35.0,28.35,255
2.122,35.0,28.42,255
2.142,35.0,28.42,255
2.162,35.0,28.49,255
2.182,35.0,28.51,255
2.202,35.0,28.52,255
2.223,35.0,28.56,255
2.243,35.0,28.54,255
2.263,35.0,28.59,255
2.283,35.0,28.63,255
2.303,35.0,28.68,255
2.324,35.0,28.69,255
2.344,35.0,28.69,255
2.365,35.0,28.75,255
2.385,35.0,28.68,255
2.405,35.0,28.75,255
2.425,35.0,28.74,255
2.445,35.0,28.79,255
2.465,35.0,28.81,255
2.485,35.0,28.85,255
2.506,35.0,28.88,255
2.526,35.0,28.84,255
2.546,35.0,28.91,255
2.566,35.0,28.88,255
2.586,35.0,28.91,255
2.606,35.0,28.93,255
2.627,35.0,29.02,255
2.647,35.0,28.97,255
2.667,35.0,29.00,255
2.687,35.0,28.97,255
2.708,35.0,28.96,255
2.728,35.0,29.02,255
2.748,35.0,29.02,255
2.768,35.0,29.09,255
2.789,35.0,29.06,255
2.809,35.0,29.11,255
2.829,35.0,29.11,255
2.849,35.0,29.08,255
2.869,35.0,29.08,255
2.890,35.0,29.14,255
2.910,35.0,29.09,255
2.930,35.0,29.21,255
2.950,35.0,29.16,255
2.970,35.0,29.21,255
2.991,35.0,29.14,255
3.011,35.0,29.22,255
3.031,35.0,29.17,255
3.051,35.0,29.23,255
3.071,35.0,29.28,255
3.091,35.0,29.21,255
3.112,35.0,29.28,255
3.132,35.0,29.21,255
3.152,35.0,29.28,255
3.172,35.0,29.20,255
3.192,35.0,29.29,255
3.212,35.0,29.28,255
3.233,35.0,29.28,255
3.253,35.0,29.34,255
3.273,35.0,29.28,255
3.293,35.0,29.29,255
3.313,35.0,29.28,255
3.334,35.0,29.35,255
3.354,35.0,29.31,255
3.374,35.0,29.33,255
3.394,35.0,29.33,255
3.414,35.0,29.34,255
3.435,35.0,29.28,255
3.455,35.0,29.36,255
3.475,35.0,29.33,255
3.495,35.0,29.40,255
3.516,35.0,29.37,255
3.536,35.0,29.38,255
3.556,35.0,29.38,255
3.576,35.0,29.35,255
3.596,35.0,29.39,255
3.616,35.0,29.39,255
3.636,35.0,29.41,255
3.657,35.0,29.39,255
3.677,35.0,29.41,255
3.697,35.0,29.34,255
3.717,35.0,29.42,255
3.737,35.0,29.37,255
3.757,35.0,29.39,255
3.777,35.0,29.41,255
3.797,35.0,29.42,255
3.817,35.0,29.41,255
3.838,35.0,29.38,255
3.858,35.0,29.42,255
3.878,35.0,29.38,255
3.898,35.0,29.38,255
3.918,35.0,29.43,255
3.938,35.0,29.43,255
3.959,35.0,29.49,255
3.979,35.0,29.42,255
3.999,35.0,29.40,255
4.019,35.0,29.44,255
4.039,35.0,29.37,255
4.059,35.0,29.43,255
4.080,35.0,29.39,255
4.100,35.0,29.48,255
4.120,35.0,29.44,255
4.140,35.0,29.44,255
4.160,35.0,29.44,255
4.180,35.0,29.41,255
4.200,35.0,29.43,255
4.221,35.0,29.41,255
4.241,35.0,29.48,255
4.261,35.0,29.47,255
4.281,35.0,29.48,255
4.301,35.0,29.41,255
4.321,35.0,29.46,255
4.341,35.0,29.41,255
4.361,35.0,29.46,255
4.382,35.0,29.47,255
4.402,35.0,29.47,255
4.422,35.0,29.41,255
4.442,35.0,29.48,255
4.462,35.0,29.41,255
4.482,35.0,29.44,255
4.503,35.0,29.41,255
4.523,35.0,29.45,255
4.543,35.0,29.48,255
4.563,35.0,29.44,255
4.584,35.0,29.48,255
4.604,35.0,29.46,255
4.624,35.0,29.44,255
4.644,35.0,29.41,255
4.664,35.0,29.48,255
4.684,35.0,29.42,255
4.704,35.0,29.48,255
4.725,35.0,29.45,255
4.745,35.0,29.44,255
4.765,35.0,29.44,255
4.785,35.0,29.41,255
4.805,35.0,29.48,255
4.825,35.0,29.42,255
4.846,35.0,29.48,255
4.866,35.0,29.46,255
4.886,35.0,29.48,255
4.906,35.0,29.48,255
4.926,35.0,29.44,255
4.946,35.0,29.49,255
4.966,35.0,29.41,255
4.987,35.0,29.45,255
