Timestamp_s,Setpoint_kPa,Feedback_kPa,PWM_Main,PWM_Aux,Error_Norm
0.0003,5.0,2.119,0,0,-2.110
0.0504,5.0,2.075,43,0,2.920
0.1005,5.0,5.038,14,0,-0.030
0.1506,5.0,4.944,15,0,0.050
0.2006,5.0,4.775,17,0,0.140
0.2507,5.0,4.719,21,0,0.280
0.3008,5.0,4.575,25,0,0.420
0.3509,5.0,4.431,29,0,0.530
0.4010,5.0,4.338,36,0,0.660
0.4512,5.0,4.200,43,0,0.790
0.5013,5.0,4.013,53,0,0.980
0.5514,5.0,3.863,61,0,1.130
0.6014,5.0,3.688,70,0,1.240
0.6516,5.0,3.575,85,0,1.420
0.7017,5.0,3.463,95,0,1.530
0.7517,5.0,3.256,106,0,1.650
0.8018,5.0,2.781,131,0,2.210
0.8521,5.0,2.469,149,0,2.480
0.9021,5.0,4.200,144,0,0.790
0.9523,5.0,6.350,114,0,-1.350
1.0024,5.0,8.850,75,0,-3.200
1.0526,5.0,9.388,23,0,-4.380
1.1027,5.0,9.175,0,0,-4.170
1.1528,5.0,8.944,0,0,-3.940
1.2029,5.0,8.763,0,0,-3.760
1.2530,5.0,8.544,0,0,-3.590
1.3031,5.0,8.413,0,0,-3.410
1.3533,5.0,8.300,0,0,-3.300
1.4034,5.0,8.131,0,0,-3.170
1.4535,5.0,7.981,0,0,-2.980
1.5037,5.0,7.794,0,0,-2.850
1.5538,5.0,7.656,0,0,-2.650
1.6039,5.0,7.544,0,0,-2.540
1.6540,5.0,7.356,0,0,-2.410
1.7041,5.0,7.269,0,0,-2.260
1.7542,5.0,7.294,0,0,-2.290
1.8043,5.0,6.894,0,0,-1.890
1.8545,5.0,6.819,0,0,-1.810
1.9046,5.0,6.613,0,0,-1.680
1.9547,5.0,6.550,0,0,-1.550
2.0048,5.0,6.419,0,0,-1.410
2.0549,5.0,6.288,0,0,-1.330
2.1050,5.0,6.175,0,0,-1.170
2.1552,5.0,6.100,0,0,-1.100
2.2052,5.0,5.956,0,0,-0.950
2.2554,5.0,5.844,0,0,-0.840
2.3055,5.0,5.694,0,0,-0.780
2.3557,5.0,5.631,0,0,-0.630
2.4058,5.0,5.519,0,0,-0.510
2.4559,5.0,5.375,0,0,-0.450
2.5060,5.0,5.306,0,0,-0.300
2.5561,5.0,5.181,0,0,-0.210
2.6062,5.0,5.094,0,0,-0.090
2.6565,5.0,4.963,2,0,0.030
2.7065,5.0,4.875,3,0,0.070
2.7567,5.0,4.756,6,0,0.240
2.8068,5.0,4.688,9,0,0.310
2.8569,5.0,4.563,14,0,0.430
2.9070,5.0,4.475,18,0,0.520
2.9571,5.0,4.363,22,0,0.560
3.0072,5.0,4.281,30,0,0.710
3.0574,5.0,4.219,35,0,0.780
3.1074,5.0,4.044,43,0,0.940
3.1576,5.0,3.963,53,0,1.030
3.2077,5.0,3.838,60,0,1.120
3.2578,5.0,3.706,73,0,1.290
3.3079,5.0,3.681,82,0,1.310
3.3580,5.0,3.488,92,0,1.440
3.4081,5.0,3.425,107,0,1.570
3.4582,5.0,3.181,120,0,1.810
