Kp_Neg,Ki_Neg,Rise_Time_s,Overshoot_kPa
-60.0,-800.0,0.25274133682250977,9.89
-60.0,-1200.0,0.223114013671875,9.96
-60.0,-1600.0,0.2645754814147949,11.17
-60.0,-2000.0,0.24529027938842773,11.39
-80.0,-800.0,0.2542996406555176,9.48
-80.0,-1200.0,0.2471332550048828,10.53
-80.0,-1600.0,0.26465392112731934,11.04
-80.0,-2000.0,0.25353431701660156,11.41
-100.0,-800.0,0.2438492774963379,10.00
-100.0,-1200.0,0.2453780174255371,10.41
-100.0,-1600.0,0.2539527416229248,10.89
-100.0,-2000.0,0.00014281272888183594,4.96
-120.0,-800.0,4.839897155761719e-05,4.94
-120.0,-1200.0,0.00013828277587890625,4.05
-120.0,-1600.0,0.31614184379577637,12.97
-120.0,-2000.0,0.3145921230316162,13.94
