Kp_Neg,Ki_Neg,Rise_Time_s,Overshoot_kPa
-60.0,-800.0,0.1843724250793457,7.11
-60.0,-1200.0,0.18623828887939453,7.24
-60.0,-1600.0,0.1728217601776123,7.58
-60.0,-2000.0,0.1925194263458252,8.04
-80.0,-800.0,4.935264587402344e-05,1.10
-80.0,-1200.0,0.18284988403320312,6.97
-80.0,-1600.0,0.18274378776550293,7.19
-80.0,-2000.0,0.16467618942260742,7.51
-100.0,-800.0,0.19313931465148926,5.94
-100.0,-1200.0,0.00011420249938964844,1.42
-100.0,-1600.0,0.17296862602233887,7.77
-100.0,-2000.0,0.17822003364562988,7.86
-120.0,-800.0,0.16209959983825684,5.34
-120.0,-1200.0,0.1620476245880127,6.19
