Timestamp_s,Setpoint,Feedback_kPa,PWM_Main,PWM_Aux,Mode,Error_kPa
1.3430,0.0000,0.6125,0,0,0,-0.6000
1.3632,0.0000,0.6125,0,0,0,-0.6000
1.3839,0.0000,0.6125,0,0,0,-0.6000
1.4038,0.0000,0.6000,0,0,0,-0.6000
1.4240,0.0000,0.6000,0,0,0,-0.5000
1.4437,0.0000,0.6000,0,0,0,-0.5000
1.4631,0.0000,0.6000,0,0,0,-0.5000
1.4834,0.0000,0.6000,0,0,0,-0.5000
1.5038,0.0000,0.6000,0,0,0,-0.6000
1.5231,0.0000,0.6000,0,0,0,-0.6000
1.5438,0.0000,0.6000,0,0,0,-0.6000
1.5638,0.0000,0.6125,0,0,0,-0.6000
1.5831,0.0000,0.6125,0,0,0,-0.5000
1.6039,0.0000,0.6125,0,0,0,-0.5000
1.6235,0.0000,0.6125,0,0,0,-0.5000
1.6437,0.0000,0.6000,0,0,0,-0.5000
1.6633,0.0000,0.6000,0,0,0,-0.6000
1.6840,0.0000,0.6000,0,0,0,-0.6000
1.7036,0.0000,0.6000,0,0,0,-0.6000
1.7241,0.0000,0.5938,0,0,0,-0.6000
1.7437,0.0000,0.5938,0,0,0,-0.5000
1.7635,0.0000,0.5938,0,0,0,-0.5000
1.7830,0.0000,0.5938,0,0,0,-0.5000
1.8032,0.0000,0.5938,0,0,0,-0.5000
1.8233,0.0000,0.5938,0,0,0,-0.5000
1.8438,0.0000,0.5938,0,0,0,-0.5000
1.8636,0.0000,0.5938,0,0,0,-0.5000
1.8842,0.0000,0.5875,0,0,0,-0.5000
1.9032,0.0000,0.5875,0,0,0,-0.5000
1.9234,0.0000,0.5875,0,0,0,-0.5000
1.9430,0.0000,0.5875,0,0,0,-0.5000
1.9639,0.0000,0.5938,0,0,0,-0.5000
1.9832,0.0000,0.5938,0,0,0,-0.5000
2.0034,0.0000,0.5938,0,0,0,-0.5000
2.0235,0.0000,0.5938,0,0,0,-0.5000
2.0436,0.0000,0.5875,0,0,0,-0.5000
2.0637,0.0000,0.5875,0,0,0,-0.5000
2.0833,0.0000,0.5875,0,0,0,-0.5000
2.1039,0.0000,0.5875,0,0,0,-0.5000
2.1236,0.0000,0.5875,0,0,0,-0.5000
2.1439,0.0000,0.5875,0,0,0,-0.5000
2.1639,0.0000,0.5875,0,0,0,-0.5000
2.1835,0.0000,0.5875,0,0,0,-0.5000
2.2041,0.0000,0.6000,0,0,0,-0.5000
2.2234,0.0000,0.6000,0,0,0,-0.5000
2.2432,0.0000,0.6000,0,0,0,-0.5000
2.2638,0.0000,0.6000,0,0,0,-0.5000
2.2841,0.0000,0.6000,0,0,0,-0.5000
2.3031,0.0000,0.6000,0,0,0,-0.6000
2.3231,0.0000,0.6000,0,0,0,-0.6000
2.3432,0.0000,0.6000,0,0,0,-0.6000
2.3638,0.0000,0.5938,0,0,0,-0.6000
