Timestamp_s,Setpoint_kPa,Feedback_kPa,PWM_Main,PWM_Aux,Error_Norm
0.0002,0,2.219,0,0,-2.230
0.0503,0,2.350,0,0,-2.350
0.1004,0,2.338,0,0,-2.330
0.1505,0,2.269,0,0,-2.250
0.2006,0,2.256,0,0,-2.250
0.2507,0,2.256,0,0,-2.250
0.3007,0,2.256,0,0,-2.250
0.3510,0,2.269,0,0,-2.260
0.4010,0,2.256,0,0,-2.250
0.4511,0,2.269,0,0,-2.260
0.5012,0,2.269,0,0,-2.260
0.5514,0,2.244,0,0,-2.240
0.6015,0,2.256,0,0,-2.250
0.6516,0,2.250,0,0,-2.240
0.7017,0,2.244,0,0,-2.240
0.7520,0,2.256,0,0,-2.250
0.8021,0,2.238,0,0,-2.250
0.8523,0,2.263,0,0,-2.260
0.9024,0,2.256,0,0,-2.250
0.9525,0,2.269,0,0,-2.260
1.0026,0,2.256,0,0,-2.250
1.0527,0,2.250,0,0,-2.260
1.1029,0,2.263,0,0,-2.260
1.1531,0,2.250,0,0,-2.250
1.2031,0,2.250,0,0,-2.250
1.2534,0,2.238,0,0,-2.230
1.3034,0,2.256,0,0,-2.260
1.3535,0,2.250,0,0,-2.250
1.4036,0,2.244,0,0,-2.240
1.4537,0,2.256,0,0,-2.260
1.5038,0,2.269,0,0,-2.260
1.5545,0,2.256,0,0,-2.250
1.6045,0,2.269,0,0,-2.260
1.6548,0,2.256,0,0,-2.250
1.7049,0,2.256,0,0,-2.250
1.7550,0,2.250,0,0,-2.250
1.8051,0,2.244,0,0,-2.240
1.8552,0,2.269,0,0,-2.260
1.9054,0,2.263,0,0,-2.260
1.9555,0,2.250,0,0,-2.250
2.0056,0,2.244,0,0,-2.240
2.0557,0,2.256,0,0,-2.250
2.1064,0,2.256,0,0,-2.250
2.1564,0,2.281,0,0,-2.280
2.2065,0,2.263,0,0,-2.250
2.2567,0,2.256,0,0,-2.250
2.3068,0,2.263,0,0,-2.260
2.3569,0,2.250,0,0,-2.250
2.4070,0,2.256,0,0,-2.250
2.4572,0,2.256,0,0,-2.250
2.5073,0,2.244,0,0,-2.240
2.5575,0,2.250,0,0,-2.250
2.6075,0,2.244,0,0,-2.250
2.6577,0,2.244,0,0,-2.240
2.7078,0,2.250,0,0,-2.250
2.7578,0,2.263,0,0,-2.250
2.8080,0,2.256,0,0,-2.250
2.8582,0,2.244,0,0,-2.240
2.9083,0,2.238,0,0,-2.230
2.9584,0,2.250,0,0,-2.250
3.0088,25,2.250,0,0,-2.240
3.0589,25,2.356,255,0,22.640
3.1091,25,5.300,255,0,19.690
