Timestamp_s,Setpoint_kPa,Feedback_kPa,PWM_Main,PWM_Aux,Error_Norm
0.0001,15.0,-0.162,0,0,0.160
0.0503,15.0,2.269,227,0,15.160
0.1003,15.0,13.206,116,0,1.790
0.1504,15.0,13.638,120,0,1.360
0.2005,15.0,13.863,125,0,1.160
0.2506,15.0,14.106,130,0,0.890
0.3008,15.0,14.306,132,0,0.690
0.3509,15.0,14.550,134,0,0.440
0.4010,15.0,14.919,131,0,0.080
0.4512,15.0,15.094,128,0,-0.090
0.5012,15.0,15.300,125,0,-0.260
0.5513,15.0,15.500,119,0,-0.500
0.6015,15.0,15.700,112,0,-0.700
0.6515,15.0,15.788,107,0,-0.750
0.7016,15.0,15.875,98,0,-0.870
0.7519,15.0,16.025,90,0,-1.020
0.8019,15.0,15.894,86,0,-0.920
0.8522,15.0,15.931,80,0,-0.930
0.9023,15.0,15.888,73,0,-0.880
0.9524,15.0,15.825,68,0,-0.830
1.0043,15.0,15.831,61,0,-0.830
1.0544,15.0,15.763,57,0,-0.760
1.1049,15.0,15.744,50,0,-0.740
1.1550,15.0,15.606,48,0,-0.600
1.2051,15.0,15.550,45,0,-0.600
1.2552,15.0,15.544,40,0,-0.540
1.3068,15.0,15.544,37,0,-0.540
1.3569,15.0,15.481,35,0,-0.480
1.4069,15.0,15.488,30,0,-0.480
1.4570,15.0,15.400,29,0,-0.400
1.5071,15.0,15.406,26,0,-0.400
1.5572,15.0,15.394,24,0,-0.400
1.6072,15.0,15.338,22,0,-0.330
1.6573,15.0,15.338,19,0,-0.340
1.7074,15.0,15.275,17,0,-0.270
1.7575,15.0,15.269,16,0,-0.260
1.8076,15.0,15.275,14,0,-0.270
1.8577,15.0,15.200,13,0,-0.200
1.9078,15.0,15.213,12,0,-0.210
1.9579,15.0,15.144,10,0,-0.210
2.0080,15.0,15.138,10,0,-0.130
2.0581,15.0,15.138,9,0,-0.130
2.1082,15.0,15.075,8,0,-0.140
2.1583,15.0,15.075,8,0,-0.070
2.2084,15.0,15.075,8,0,-0.070
2.2585,15.0,15.013,8,0,-0.040
2.3086,15.0,15.019,8,0,-0.010
2.3587,15.0,15.006,8,0,0.000
2.4088,15.0,14.956,9,0,0.040
2.4588,15.0,14.944,10,0,0.050
2.5093,15.0,14.938,10,0,0.040
2.5594,15.0,14.881,11,0,0.110
2.6095,15.0,14.869,13,0,0.130
2.6596,15.0,14.881,13,0,0.110
2.7097,15.0,14.819,15,0,0.190
2.7598,15.0,14.806,17,0,0.190
2.8099,15.0,14.806,18,0,0.190
2.8599,15.0,14.750,20,0,0.240
2.9101,15.0,14.744,22,0,0.240
2.9601,15.0,14.756,24,0,0.240
3.0102,15.0,14.675,27,0,0.320
3.0604,15.0,14.688,29,0,0.310
3.1105,15.0,14.681,32,0,0.310
3.1606,15.0,14.606,35,0,0.390
3.2107,15.0,14.606,37,0,0.390
3.2608,15.0,14.613,41,0,0.380
3.3109,15.0,14.544,44,0,0.450
3.3613,15.0,14.550,48,0,0.440
3.4114,15.0,14.556,51,0,0.440
3.4615,15.0,14.481,55,0,0.510
3.5115,15.0,14.475,59,0,0.520
3.5616,15.0,14.475,62,0,0.520
3.6117,15.0,14.406,66,0,0.580
3.6617,15.0,14.413,72,0,0.580
3.7119,15.0,14.413,75,0,0.580
3.7620,15.0,14.344,80,0,0.630
3.8121,15.0,14.344,86,0,0.650
3.8622,15.0,14.356,89,0,0.640
3.9123,15.0,14.288,93,0,0.640
3.9624,15.0,14.288,101,0,0.710
4.0125,15.0,14.281,105,0,0.710
4.0626,15.0,14.225,109,0,0.710
4.1157,15.0,14.213,117,0,0.780
4.1658,15.0,14.213,122,0,0.780
4.2158,15.0,14.213,127,0,0.780
4.2659,15.0,14.206,134,0,0.790
4.3160,15.0,14.344,137,0,0.650
4.3661,15.0,14.744,136,0,0.400
4.4162,15.0,14.956,133,0,0.040
4.4663,15.0,15.206,129,0,-0.200
4.5164,15.0,15.481,123,0,-0.480
4.5665,15.0,15.613,118,0,-0.610
4.6165,15.0,15.775,112,0,-0.740
4.6666,15.0,15.881,103,0,-0.880
4.7167,15.0,15.956,96,0,-0.950
4.7668,15.0,15.994,90,0,-0.990
4.8169,15.0,16.025,84,0,-0.980
4.8670,15.0,15.938,76,0,-0.930
4.9171,15.0,15.944,70,0,-0.940
4.9672,15.0,15.869,65,0,-0.860
